Robot id	First discovery time	First information time
1	0	89
2	0	101
3	0	84
4	0	81
5	0	81
6	0	81
7	0	83
8	0	96
9	423	74
10	0	83
11	0	86
12	0	85
13	0	80
14	0	79
15	0	88
16	0	78
17	0	75
18	184	75
19	0	87
20	0	80
21	0	91
22	0	97
23	0	79
24	0	82
25	0	82
26	0	77
27	0	78
28	0	96
29	0	85
30	0	83
31	0	99
32	0	102
33	0	75
34	0	78
35	0	96
36	0	83
37	0	78
38	0	75
39	0	93
40	0	82
41	0	92
42	0	80
43	0	82
44	0	82
45	0	92
46	0	82
47	0	97
48	0	83
49	0	85
50	0	84
51	0	85
52	0	86
53	0	99
54	0	81
55	0	85
56	0	81
57	0	75
58	0	83
59	0	78
60	0	79
61	0	87
62	0	97
63	0	82
64	0	84
65	0	97
66	0	82
67	0	97
68	0	89
69	0	89
70	0	125
71	0	84
